Date,Day,S_Guinea,E_Guinea,I_Guinea,R_Guinea,D_Guinea,S_Liberia,E_Liberia,I_Liberia,R_Liberia,D_Liberia,S_SierraLeone,E_SierraLeone,I_SierraLeone,R_SierraLeone,D_SierraLeone,Travel_Rate_Guinea,Travel_Rate_Liberia,Travel_Rate_SierraLeone,Contact_Rate_Guinea,Contact_Rate_Liberia,Contact_Rate_SierraLeone
2013-12-28,0,1992400.0,0.0,100.0,0.0,0.0,1499990.0,0.0,10.0,0.0,0.0,1007490.0,0.0,10.0,0.0,0.0,0.001,0.001,0.001,2.0,1.5,1.8
2013-12-29,1,1994719.3780254184,47.545233198844805,71.15390097697947,6.490094419424603,25.320232928081953,1499984.8431654146,4.81418594290657,7.148529253017324,0.6518610999045868,2.5377931064167036,1005114.7336247086,5.031837885934712,7.16024751932473,0.6521770686064523,2.539091058450314,0.001,0.001,0.001,2.0,1.5,1.8
2013-12-30,2,1996116.3614387757,77.41008861767857,55.0735638496758,11.290795531927168,44.05878511373895,1499980.9636817956,7.902339046971623,5.5590988766678615,1.1377306695934486,4.424495828254981,1003676.4056290148,8.2474404416336,5.592782337253536,1.1396242563087624,4.432505843540624,0.001,0.001,0.001,2.0,1.5,1.8
2013-12-31,3,1996954.3356087804,97.16980139630303,46.42084753455774,15.163586757366241,59.17863654314358,1499977.8041540887,9.975753018783172,4.711776681980981,1.5323094307383314,5.954718295129596,1002805.0507618821,10.41795894544933,4.770149118257569,1.5374075981888677,5.976529928271215,0.001,0.001,0.001,2.0,1.5,1.8
2014-01-01,4,1997453.3757997972,111.20162927228314,42.10987057091126,18.551855986226357,72.40721606491805,1499975.026207175,11.464108570595398,4.299297144526555,1.879670838764811,7.301322458804912,1002276.7675416487,11.997438302603808,4.383692225658988,1.8897824181532554,7.344567524540254,0.001,0.001,0.001,2.0,1.5,1.8
2014-01-02,5,1997746.7485463012,122.04270703395403,40.354077027227305,21.71533479144314,84.75714339179099,1499972.4262487944,12.623310082501366,4.142382971688632,2.205726153323823,8.565681736138647,1001956.0514428084,13.251985436407564,4.25418714360463,2.222839544938335,8.638386781921007,0.001,0.001,0.001,2.0,1.5,1.8
2014-01-03,6,1997915.1410637328,131.1681772771556,40.11878183935683,24.80750194846275,96.8270999404078,1499969.881592043,13.604793765700304,4.13721804940683,2.5257951310402187,9.807614030837795,1001760.8944345836,14.337430565095849,4.278144122069688,2.552083332954822,9.918269637339781,0.001,0.001,0.001,2.0,1.5,1.8
2014-01-04,7,1998007.395217917,139.43925795446566,40.80518843892716,27.92034222966511,108.97609156033329,1499967.3174524165,14.498089482211808,4.22399111724229,2.8490748947329743,11.062931818340807,1001641.6634680567,15.345302318468663,4.396099954402175,2.8868955988229597,11.220596241887977,0.001,0.001,0.001,2.0,1.5,1.8
2014-01-05,8,1998053.065752397,147.36201193779974,42.06749917897589,31.110293130861084,121.42453366838237,1499964.6871693425,15.356345412287602,4.368404417522146,3.1812409852154757,12.353646272765728,1001568.3180305496,16.329797776342634,4.574087633994752,3.2331396294348407,12.568047666346404,0.001,0.001,0.001,2.0,1.5,1.8
2014-01-06,9,1998070.0261011,155.23706164708727,43.70688790916167,34.41330783942555,134.3129467204362,1499961.9604850379,16.21143918191392,4.550912173402937,3.5259517564635368,13.693874974462636,1001522.6744585392,17.32351749401605,4.7928761543747,3.5946711718535815,13.975508299297571,0.001,0.001,0.001,2.0,1.5,1.8
