time,country,cases
0.0,Guinea,7
1.0,Guinea,43
2.0,Guinea,23
3.0,Guinea,74
4.0,Guinea,106
5.0,Guinea,69
6.0,Guinea,64
7.0,Guinea,104
8.0,Guinea,83
9.0,Guinea,154
10.0,Guinea,95
11.0,Guinea,63
12.0,Guinea,169
13.0,Guinea,198
14.0,Guinea,201
15.0,Guinea,102
16.0,Guinea,206
17.0,Guinea,177
18.0,Guinea,271
19.0,Guinea,164
20.0,Guinea,319
21.0,Guinea,136
22.0,Guinea,164
23.0,Guinea,446
24.0,Guinea,354
25.0,Guinea,254
26.0,Guinea,299
27.0,Guinea,188
28.0,Guinea,419
29.0,Guinea,270
30.0,Guinea,136
31.0,Guinea,569
32.0,Guinea,232
33.0,Guinea,236
34.0,Guinea,259
35.0,Guinea,398
36.0,Guinea,539
37.0,Guinea,625
38.0,Guinea,743
39.0,Guinea,582
40.0,Guinea,591
41.0,Guinea,358
42.0,Guinea,706
43.0,Guinea,692
44.0,Guinea,478
45.0,Guinea,990
46.0,Guinea,560
47.0,Guinea,950
48.0,Guinea,669
49.0,Guinea,899
50.0,Guinea,727
51.0,Guinea,991
52.0,Guinea,1041
53.0,Guinea,840
54.0,Guinea,1182
55.0,Guinea,1519
56.0,Guinea,910
57.0,Guinea,910
58.0,Guinea,1370
59.0,Guinea,1542
60.0,Guinea,1555
61.0,Guinea,1824
62.0,Guinea,2070
63.0,Guinea,1441
64.0,Guinea,1423
65.0,Guinea,4241
66.0,Guinea,2001
67.0,Guinea,2071
68.0,Guinea,2750
69.0,Guinea,2544
70.0,Guinea,3307
71.0,Guinea,2972
72.0,Guinea,3960
73.0,Guinea,3501
74.0,Guinea,2819
75.0,Guinea,3380
76.0,Guinea,6357
77.0,Guinea,5138
78.0,Guinea,7529
79.0,Guinea,3931
80.0,Guinea,3146
81.0,Guinea,2537
82.0,Guinea,5752
83.0,Guinea,3634
84.0,Guinea,3198
85.0,Guinea,6889
86.0,Guinea,10359
87.0,Guinea,5028
88.0,Guinea,10936
89.0,Guinea,5586
90.0,Guinea,11605
91.0,Guinea,6048
92.0,Guinea,10776
93.0,Guinea,9324
94.0,Guinea,14235
95.0,Guinea,12783
96.0,Guinea,13346
97.0,Guinea,9515
98.0,Guinea,13166
99.0,Guinea,9396
100.0,Guinea,12565
101.0,Guinea,12990
102.0,Guinea,16156
103.0,Guinea,15841
104.0,Guinea,18637
105.0,Guinea,15018
106.0,Guinea,13088
107.0,Guinea,18095
108.0,Guinea,17626
109.0,Guinea,22210
110.0,Guinea,17577
111.0,Guinea,25004
112.0,Guinea,14576
113.0,Guinea,27085
114.0,Guinea,18715
115.0,Guinea,18656
116.0,Guinea,20006
117.0,Guinea,26167
118.0,Guinea,27404
119.0,Guinea,37209
120.0,Guinea,48415
121.0,Guinea,42813
122.0,Guinea,40134
123.0,Guinea,36796
124.0,Guinea,31864
125.0,Guinea,39794
126.0,Guinea,25976
127.0,Guinea,40938
128.0,Guinea,64156
129.0,Guinea,54255
130.0,Guinea,48634
131.0,Guinea,62649
132.0,Guinea,74252
133.0,Guinea,68745
134.0,Guinea,45476
135.0,Guinea,58696
136.0,Guinea,93221
137.0,Guinea,54712
138.0,Guinea,66240
139.0,Guinea,60861
140.0,Guinea,70591
141.0,Guinea,132045
142.0,Guinea,49719
143.0,Guinea,93878
144.0,Guinea,65321
145.0,Guinea,116093
146.0,Guinea,98939
147.0,Guinea,77182
148.0,Guinea,85557
149.0,Guinea,66403
150.0,Guinea,83243
151.0,Guinea,110754
152.0,Guinea,118362
153.0,Guinea,30308
154.0,Guinea,79350
155.0,Guinea,103564
156.0,Guinea,46509
157.0,Guinea,117412
158.0,Guinea,68583
159.0,Guinea,144123
160.0,Guinea,71343
161.0,Guinea,66053
162.0,Guinea,111106
163.0,Guinea,119424
164.0,Guinea,106541
165.0,Guinea,82482
166.0,Guinea,86702
167.0,Guinea,79397
168.0,Guinea,78316
169.0,Guinea,110073
170.0,Guinea,73792
171.0,Guinea,79717
172.0,Guinea,47091
173.0,Guinea,126422
174.0,Guinea,103650
175.0,Guinea,54962
