Guinea_New_case,Liberia_New_case,SierraLeone_New_case,Noise
53.461188331039466,8.762669136621,7.884233645247605,[2543  283  398]
675.7753767676363,101.55577021915751,86.8966323945661,[3046  493  282]
1164.76711574625,200.13744830281658,158.96277060150436,[2597  349  199]
1711.907547476635,352.0034795014425,256.15918737384106,[1906  324  275]
2484.3691855376383,615.1064962504129,409.30823158088504,[2168  347  491]
3600.6894122566127,1074.2373835499923,653.5784579937203,[1977  579  309]
5216.427290576101,1875.3641701875063,1043.4549409381523,[1999  650  538]
7553.573300110884,3271.90300390413,1665.5755777300146,[1575  488  328]
10930.377268416902,5702.22566838168,2657.79101294025,[2387  540  506]
15801.171838958486,9919.016170395953,4239.000102094003,[2097  429  208]
22809.950611835193,17197.642228881494,6755.617042599391,[2336  366  296]
32859.92259800805,29648.780435336397,10752.847295397005,[1505  739  200]
47198.06790346572,50619.555070145434,17081.19303398394,[1564  510  454]
67505.70802041367,85009.58767550203,27048.47726209124,[1989  573  298]
95968.8669950685,138911.68556138373,42618.950472974364,[1082  243  322]
135269.8781654036,217261.8387387785,66629.10414447218,[2635  305  529]
188390.3047098333,317954.9210750796,102906.08614355075,[2064  557  186]
258054.2199238781,423937.66203071503,156000.48239334265,[3279  696  335]
345618.32341446006,502655.63234051503,229984.59148748236,[970 478 426]
449348.1762922683,523263.8988242226,325644.23791299784,[3904  658  236]
562468.2679239723,480291.722064666,436117.185652926,[2055  729  455]
672132.6443847618,396097.5085219103,543452.3191652154,[1731  593  454]
760968.1239219699,300998.8629311067,621341.3882621371,[2282  307  406]
811981.1973109515,215880.77842593612,646840.1346567795,[1795  293  695]
815064.1306517795,148944.8060849593,613902.7658597846,[1979  518  341]
771167.7558275945,100213.24706452945,536221.2837883439,[2770  520  346]
691321.7145845024,66360.29336636094,437310.68463168014,[2133  231  232]
591510.1025136365,43508.17625421379,338218.19731817394,[2015  519  426]
486984.1602434898,28350.43204639433,251568.63622176275,[1425  430  168]
388813.7583049042,18403.575042446144,182005.0501196338,[1282  219  440]
303144.36062018573,11918.798286854755,129173.19896668196,[1410  630  355]
232131.6104089655,7707.958097275812,90484.90533647873,[1438  579  274]
175379.3753479421,4980.3608787553385,62826.45865244884,[2849  411  413]
131192.47847640142,3216.1978637916036,43364.445978919044,[1789  498  362]
97426.27312185802,2076.2277214201167,29812.675627896562,[2994  322  299]
71967.14324122109,1340.0255965879187,20441.55736813415,[1766  503  325]
52955.56022356078,864.7522900104523,13991.14748142194,[1536  432  348]
38856.792939636856,557.9979264191352,9564.73425304424,[1127  797  508]
28453.425774674863,360.0388600938022,6533.447347279638,[2377  620  411]
20804.496257971972,232.3008432467468,4460.417529471219,[1213  775  298]
15195.366714995354,149.87953720381483,3044.028352385387,[1970  393  285]
11089.820316376165,96.7002446022816,2076.8897694246843,[3081  480  306]
8088.912440953776,62.38910205475986,1416.7870831377804,[2491  411  429]
5897.603794094175,40.25198304094374,966.3750176727772,[1981  398  299]
4298.629053175449,25.969533112365752,659.1021978538483,[821 596 271]
3132.4846660755575,16.754825791344047,449.507198789157,[3718  685  416]
2282.3303396590054,10.80973331676796,306.5524235451594,[2696  341  254]
1662.7138324305415,6.97412310866639,209.05574624426663,[2889  411  170]
1211.2107464205474,4.499496694188565,142.5647416273132,[1534  298  426]
882.2570295333862,2.902940168045461,97.2203455241397,[1999  427  309]
642.6152517981827,1.872889312915504,66.29774904809892,[3226  425  356]
468.05051014199853,1.2083313949406147,45.2103724386543,[2373  298  499]
340.89769992791116,0.7795786899514496,30.830161751247942,[1558  325  135]
248.28351547569036,0.5029604430310428,21.0238594179973,[1741  452  431]
180.828220423311,0.32449473440647125,14.336671554483473,[1696  340  150]
131.69841101393104,0.20935409795492887,9.7765072574839,[1065  693  493]
95.91620038822293,0.1350688962265849,6.666821306571364,[1508  418  363]
69.85560699552298,0.0871423315256834,4.546253468841314,[2117  317  334]
50.87553970143199,0.056221573147922754,3.100190019235015,[2262  547  342]
37.05234177224338,0.03627244057133794,2.1140870386734605,[1892  541  482]
26.984940767288208,0.023401868529617786,1.441641652956605,[1301  346  457]
19.652901781722903,0.01509817037731409,0.9830865245312452,[2425  365  263]
14.313026381656528,0.009740878827869892,0.6703878799453378,[1518  643  293]
10.424036854878068,0.006284517701715231,0.45715189166367054,[2710  535  590]
5.662303419783711,0.003071206621825695,0.23448897246271372,[1894 1034  444]
